"gridvalue","CDF","type"
0,0.0831920521047868,"Real Emission at 30m"
5,0.733321734110751,"Real Emission at 30m"
10,0.862801428053124,"Real Emission at 30m"
15,0.909809300688265,"Real Emission at 30m"
20,0.926125090871816,"Real Emission at 30m"
25,0.933146666774566,"Real Emission at 30m"
30,0.938927395610369,"Real Emission at 30m"
35,0.941467085857176,"Real Emission at 30m"
40,0.943006005969553,"Real Emission at 30m"
45,0.944379030224067,"Real Emission at 30m"
50,0.945259761892238,"Real Emission at 30m"
55,0.945917950336445,"Real Emission at 30m"
60,0.946473634022948,"Real Emission at 30m"
65,0.947056292645688,"Real Emission at 30m"
70,0.947621417559874,"Real Emission at 30m"
75,0.948139336335644,"Real Emission at 30m"
80,0.948658603858225,"Real Emission at 30m"
85,0.949273632404451,"Real Emission at 30m"
90,0.949821223610083,"Real Emission at 30m"
95,0.950526618192706,"Real Emission at 30m"
100,0.95117536540923,"Real Emission at 30m"
105,0.95198461349637,"Real Emission at 30m"
110,0.952569969612734,"Real Emission at 30m"
115,0.953001568592542,"Real Emission at 30m"
120,0.953462840002212,"Real Emission at 30m"
125,0.95391601893101,"Real Emission at 30m"
130,0.954408311517354,"Real Emission at 30m"
135,0.954884419141954,"Real Emission at 30m"
140,0.955311971881326,"Real Emission at 30m"
145,0.955766499556937,"Real Emission at 30m"
150,0.956219678485735,"Real Emission at 30m"
155,0.956643184984671,"Real Emission at 30m"
160,0.957132780077391,"Real Emission at 30m"
165,0.957630467650982,"Real Emission at 30m"
170,0.958095785301088,"Real Emission at 30m"
175,0.958532779268143,"Real Emission at 30m"
180,0.959033164335358,"Real Emission at 30m"
185,0.959528154415325,"Real Emission at 30m"
190,0.960082489355016,"Real Emission at 30m"
195,0.960607151864845,"Real Emission at 30m"
200,0.961142604349169,"Real Emission at 30m"
205,0.96161871197377,"Real Emission at 30m"
210,0.962128538268668,"Real Emission at 30m"
215,0.962681524461547,"Real Emission at 30m"
220,0.963239905641673,"Real Emission at 30m"
225,0.96381312303673,"Real Emission at 30m"
230,0.964336436799748,"Real Emission at 30m"
235,0.964888074245814,"Real Emission at 30m"
240,0.965455896653624,"Real Emission at 30m"
245,0.966060135225355,"Real Emission at 30m"
250,0.966625260139541,"Real Emission at 30m"
255,0.967175548838796,"Real Emission at 30m"
260,0.967773043676468,"Real Emission at 30m"
265,0.968389420969506,"Real Emission at 30m"
270,0.968982869566742,"Real Emission at 30m"
275,0.969546645734116,"Real Emission at 30m"
280,0.970059169522638,"Real Emission at 30m"
285,0.970610806968705,"Real Emission at 30m"
290,0.971116587023167,"Real Emission at 30m"
295,0.971611577103135,"Real Emission at 30m"
300,0.972198281966311,"Real Emission at 30m"
305,0.972718898235704,"Real Emission at 30m"
310,0.973169379670879,"Real Emission at 30m"
315,0.973663021004034,"Real Emission at 30m"
320,0.974105409958337,"Real Emission at 30m"
325,0.974595005051057,"Real Emission at 30m"
330,0.975103482599143,"Real Emission at 30m"
335,0.975630842602596,"Real Emission at 30m"
340,0.976147412631553,"Real Emission at 30m"
345,0.976674772635006,"Real Emission at 30m"
350,0.977192691410776,"Real Emission at 30m"
355,0.977722748907852,"Real Emission at 30m"
360,0.978258201392176,"Real Emission at 30m"
365,0.978840860014917,"Real Emission at 30m"
370,0.979431611118529,"Real Emission at 30m"
375,0.980050685905191,"Real Emission at 30m"
380,0.98071022309621,"Real Emission at 30m"
385,0.981383247755348,"Real Emission at 30m"
390,0.981847216658642,"Real Emission at 30m"
395,0.982280164385261,"Real Emission at 30m"
400,0.982722553339565,"Real Emission at 30m"
405,0.983229682140839,"Real Emission at 30m"
410,0.983676117335578,"Real Emission at 30m"
415,0.984057812683345,"Real Emission at 30m"
420,0.984440856777925,"Real Emission at 30m"
425,0.984794228442643,"Real Emission at 30m"
430,0.985123322664746,"Real Emission at 30m"
435,0.985494228038018,"Real Emission at 30m"
440,0.985844902209112,"Real Emission at 30m"
445,0.986165903950345,"Real Emission at 30m"
450,0.986451838274467,"Real Emission at 30m"
455,0.986748562573085,"Real Emission at 30m"
460,0.987008870707782,"Real Emission at 30m"
465,0.987301548765964,"Real Emission at 30m"
470,0.987606365545453,"Real Emission at 30m"
475,0.987893648616388,"Real Emission at 30m"
480,0.988195767902254,"Real Emission at 30m"
485,0.988477655985941,"Real Emission at 30m"
490,0.988756846576004,"Real Emission at 30m"
495,0.988986133534027,"Real Emission at 30m"
500,0.989246441668724,"Real Emission at 30m"
505,0.989504052309796,"Real Emission at 30m"
510,0.989757616710433,"Real Emission at 30m"
515,0.989969369959902,"Real Emission at 30m"
520,0.990195959424301,"Real Emission at 30m"
525,0.990406363926957,"Real Emission at 30m"
530,0.990581701012504,"Real Emission at 30m"
535,0.990784013034289,"Real Emission at 30m"
540,0.990956652626212,"Real Emission at 30m"
545,0.991127943471324,"Real Emission at 30m"
550,0.991300583063247,"Real Emission at 30m"
555,0.991467827667922,"Real Emission at 30m"
560,0.991645862247093,"Real Emission at 30m"
565,0.991806363117709,"Real Emission at 30m"
570,0.991992490177751,"Real Emission at 30m"
575,0.992155688541991,"Real Emission at 30m"
580,0.992337769361598,"Real Emission at 30m"
585,0.99249557273859,"Real Emission at 30m"
590,0.992665514836889,"Real Emission at 30m"
595,0.992808481998951,"Real Emission at 30m"
600,0.992940659186517,"Real Emission at 30m"
605,0.993079580108143,"Real Emission at 30m"
610,0.993205013561649,"Real Emission at 30m"
615,0.993307518319354,"Real Emission at 30m"
620,0.993443741747355,"Real Emission at 30m"
625,0.993569175200862,"Real Emission at 30m"
630,0.993670331211755,"Real Emission at 30m"
635,0.993795764665261,"Real Emission at 30m"
640,0.993919849371956,"Real Emission at 30m"
645,0.994038539091403,"Real Emission at 30m"
650,0.994166670038534,"Real Emission at 30m"
655,0.994279964770733,"Real Emission at 30m"
660,0.994398654490181,"Real Emission at 30m"
665,0.994517344209628,"Real Emission at 30m"
670,0.994644126409946,"Real Emission at 30m"
675,0.994752026154898,"Real Emission at 30m"
680,0.994857228406226,"Real Emission at 30m"
685,0.994984010606545,"Real Emission at 30m"
690,0.995133721502666,"Real Emission at 30m"
695,0.995238923753994,"Real Emission at 30m"
700,0.995352218486194,"Real Emission at 30m"
705,0.995446630763027,"Real Emission at 30m"
710,0.995568017976098,"Real Emission at 30m"
715,0.995710985138159,"Real Emission at 30m"
720,0.995835069844854,"Real Emission at 30m"
725,0.996015801917648,"Real Emission at 30m"
730,0.996160117826521,"Real Emission at 30m"
735,0.99628690002684,"Real Emission at 30m"
740,0.99637187107599,"Real Emission at 30m"
745,0.996467632099635,"Real Emission at 30m"
750,0.996566090616903,"Real Emission at 30m"
755,0.996645666678805,"Real Emission at 30m"
760,0.996688826576786,"Real Emission at 30m"
765,0.996757612664193,"Real Emission at 30m"
770,0.996818306270729,"Real Emission at 30m"
775,0.996874953636828,"Real Emission at 30m"
780,0.996957227192354,"Real Emission at 30m"
785,0.997028710773385,"Real Emission at 30m"
790,0.997101543101227,"Real Emission at 30m"
795,0.997179770416318,"Real Emission at 30m"
800,0.997247207756913,"Real Emission at 30m"
805,0.997324086325191,"Real Emission at 30m"
810,0.997388826172162,"Real Emission at 30m"
815,0.997463007246817,"Real Emission at 30m"
820,0.997531793334223,"Real Emission at 30m"
825,0.997604625662066,"Real Emission at 30m"
830,0.997669365509037,"Real Emission at 30m"
835,0.997738151596444,"Real Emission at 30m"
840,0.997809635177475,"Real Emission at 30m"
845,0.997878421264882,"Real Emission at 30m"
850,0.997936417377793,"Real Emission at 30m"
855,0.998002505971576,"Real Emission at 30m"
860,0.998056455844052,"Real Emission at 30m"
865,0.998125241931459,"Real Emission at 30m"
870,0.998180540550747,"Real Emission at 30m"
875,0.998241234157283,"Real Emission at 30m"
880,0.998292486536135,"Real Emission at 30m"
885,0.998343738914987,"Real Emission at 30m"
890,0.998403083774711,"Real Emission at 30m"
895,0.998458382393999,"Real Emission at 30m"
900,0.99851637850691,"Real Emission at 30m"
905,0.998582467100693,"Real Emission at 30m"
910,0.998641811960417,"Real Emission at 30m"
915,0.998690366845645,"Real Emission at 30m"
920,0.998730829250002,"Real Emission at 30m"
925,0.998780732882043,"Real Emission at 30m"
930,0.998815800299152,"Real Emission at 30m"
935,0.99886435518438,"Real Emission at 30m"
940,0.998900771348302,"Real Emission at 30m"
945,0.998937187512223,"Real Emission at 30m"
950,0.998961464954837,"Real Emission at 30m"
955,0.998983044903828,"Real Emission at 30m"
960,0.999012717333689,"Real Emission at 30m"
965,0.999030251042244,"Real Emission at 30m"
970,0.999063969712542,"Real Emission at 30m"
975,0.999082852167908,"Real Emission at 30m"
980,0.999117919585018,"Real Emission at 30m"
985,0.99914084828082,"Real Emission at 30m"
990,0.999158381989375,"Real Emission at 30m"
995,0.999196146900108,"Real Emission at 30m"
1000,0.999213680608662,"Real Emission at 30m"
1005,0.99922581932997,"Real Emission at 30m"
1010,0.9992406555449,"Real Emission at 30m"
1015,0.999258189253455,"Real Emission at 30m"
1020,0.99926897922795,"Real Emission at 30m"
1025,0.999287861683317,"Real Emission at 30m"
1030,0.999302697898248,"Real Emission at 30m"
1035,0.999317534113179,"Real Emission at 30m"
1040,0.999339114062169,"Real Emission at 30m"
1045,0.999348555289852,"Real Emission at 30m"
1050,0.999370135238843,"Real Emission at 30m"
1055,0.999384971453774,"Real Emission at 30m"
1060,0.999391715187833,"Real Emission at 30m"
1065,0.999407900149576,"Real Emission at 30m"
1070,0.999421387617695,"Real Emission at 30m"
1075,0.999442967566685,"Real Emission at 30m"
1080,0.999452408794369,"Real Emission at 30m"
1085,0.999463198768864,"Real Emission at 30m"
1090,0.999476686236983,"Real Emission at 30m"
1095,0.99948882495829,"Real Emission at 30m"
1100,0.999505009920033,"Real Emission at 30m"
1105,0.999519846134964,"Real Emission at 30m"
1110,0.999531984856271,"Real Emission at 30m"
1115,0.99953872859033,"Real Emission at 30m"
1120,0.999550867311637,"Real Emission at 30m"
1125,0.999556262298885,"Real Emission at 30m"
1130,0.99956705227338,"Real Emission at 30m"
1135,0.999579190994687,"Real Emission at 30m"
1140,0.999588632222371,"Real Emission at 30m"
1145,0.999598073450054,"Real Emission at 30m"
1150,0.999612909664985,"Real Emission at 30m"
1155,0.999619653399044,"Real Emission at 30m"
1160,0.999629094626728,"Real Emission at 30m"
1165,0.99964527958847,"Real Emission at 30m"
1170,0.999658767056589,"Real Emission at 30m"
1175,0.999669557031085,"Real Emission at 30m"
1180,0.999684393246015,"Real Emission at 30m"
1185,0.999696531967323,"Real Emission at 30m"
1190,0.999700578207758,"Real Emission at 30m"
1195,0.999704624448194,"Real Emission at 30m"
1200,0.999707321941818,"Real Emission at 30m"
1205,0.999718111916313,"Real Emission at 30m"
1210,0.999731599384432,"Real Emission at 30m"
1215,0.999745086852551,"Real Emission at 30m"
1220,0.99975857432067,"Real Emission at 30m"
1225,0.999770713041977,"Real Emission at 30m"
1230,0.999778805522848,"Real Emission at 30m"
1235,0.999790944244155,"Real Emission at 30m"
1240,0.999803082965463,"Real Emission at 30m"
1245,0.99980847795271,"Real Emission at 30m"
1250,0.999813872939958,"Real Emission at 30m"
1255,0.999820616674017,"Real Emission at 30m"
1260,0.999827360408077,"Real Emission at 30m"
1265,0.999839499129384,"Real Emission at 30m"
1270,0.999848940357067,"Real Emission at 30m"
1275,0.999863776571998,"Real Emission at 30m"
1280,0.999882659027365,"Real Emission at 30m"
1285,0.999892100255048,"Real Emission at 30m"
1290,0.999904238976355,"Real Emission at 30m"
1295,0.99991502895085,"Real Emission at 30m"
1300,0.999928516418969,"Real Emission at 30m"
1305,0.9999433526339,"Real Emission at 30m"
1310,0.99995009636796,"Real Emission at 30m"
1315,0.999958188848831,"Real Emission at 30m"
1320,0.999963583836079,"Real Emission at 30m"
1325,0.999968978823326,"Real Emission at 30m"
1330,0.999986512531881,"Real Emission at 30m"
1335,0.999994605012752,"Real Emission at 30m"
1340,0.999995953759564,"Real Emission at 30m"
1345,0.999997302506376,"Real Emission at 30m"
1350,0.999997302506376,"Real Emission at 30m"
1355,0.999997302506376,"Real Emission at 30m"
1360,0.999997302506376,"Real Emission at 30m"
1365,0.999997302506376,"Real Emission at 30m"
1370,0.999997302506376,"Real Emission at 30m"
1375,0.999997302506376,"Real Emission at 30m"
1380,0.999997302506376,"Real Emission at 30m"
1385,0.999997302506376,"Real Emission at 30m"
1390,0.999997302506376,"Real Emission at 30m"
1395,0.999997302506376,"Real Emission at 30m"
1400,0.999997302506376,"Real Emission at 30m"
1405,0.999997302506376,"Real Emission at 30m"
1410,0.999997302506376,"Real Emission at 30m"
1415,0.999997302506376,"Real Emission at 30m"
1420,0.999997302506376,"Real Emission at 30m"
1425,0.999997302506376,"Real Emission at 30m"
1430,0.999997302506376,"Real Emission at 30m"
1435,0.999997302506376,"Real Emission at 30m"
1440,0.999997302506376,"Real Emission at 30m"
1445,0.999997302506376,"Real Emission at 30m"
1450,0.999997302506376,"Real Emission at 30m"
1455,0.999997302506376,"Real Emission at 30m"
1460,0.999997302506376,"Real Emission at 30m"
1465,0.999997302506376,"Real Emission at 30m"
1470,0.999997302506376,"Real Emission at 30m"
1475,0.999997302506376,"Real Emission at 30m"
1480,0.999997302506376,"Real Emission at 30m"
1485,0.999997302506376,"Real Emission at 30m"
1490,0.999997302506376,"Real Emission at 30m"
1495,0.999997302506376,"Real Emission at 30m"
1500,0.999997302506376,"Real Emission at 30m"
1505,0.999997302506376,"Real Emission at 30m"
1510,0.999997302506376,"Real Emission at 30m"
1515,0.999997302506376,"Real Emission at 30m"
1520,0.999997302506376,"Real Emission at 30m"
1525,0.999997302506376,"Real Emission at 30m"
1530,0.999997302506376,"Real Emission at 30m"
1535,0.999997302506376,"Real Emission at 30m"
1540,0.999997302506376,"Real Emission at 30m"
1545,0.999997302506376,"Real Emission at 30m"
1550,0.999997302506376,"Real Emission at 30m"
1555,0.999997302506376,"Real Emission at 30m"
1560,0.999997302506376,"Real Emission at 30m"
1565,0.999997302506376,"Real Emission at 30m"
1570,0.999997302506376,"Real Emission at 30m"
1575,0.999997302506376,"Real Emission at 30m"
1580,0.999997302506376,"Real Emission at 30m"
1585,0.999997302506376,"Real Emission at 30m"
1590,0.999997302506376,"Real Emission at 30m"
1595,0.999997302506376,"Real Emission at 30m"
1600,0.999997302506376,"Real Emission at 30m"
1605,0.999997302506376,"Real Emission at 30m"
1610,0.999997302506376,"Real Emission at 30m"
1615,0.999997302506376,"Real Emission at 30m"
1620,0.999997302506376,"Real Emission at 30m"
1625,0.999997302506376,"Real Emission at 30m"
1630,0.999997302506376,"Real Emission at 30m"
1635,0.999997302506376,"Real Emission at 30m"
1640,0.999997302506376,"Real Emission at 30m"
1645,0.999997302506376,"Real Emission at 30m"
1650,0.999997302506376,"Real Emission at 30m"
1655,0.999997302506376,"Real Emission at 30m"
1660,0.999997302506376,"Real Emission at 30m"
1665,0.999997302506376,"Real Emission at 30m"
1670,0.999997302506376,"Real Emission at 30m"
1675,0.999997302506376,"Real Emission at 30m"
1680,0.999997302506376,"Real Emission at 30m"
1685,0.999997302506376,"Real Emission at 30m"
1690,0.999997302506376,"Real Emission at 30m"
1695,0.999997302506376,"Real Emission at 30m"
1700,0.999997302506376,"Real Emission at 30m"
1705,0.999997302506376,"Real Emission at 30m"
1710,0.999998651253188,"Real Emission at 30m"
1715,0.999998651253188,"Real Emission at 30m"
1720,0.999998651253188,"Real Emission at 30m"
1725,0.999998651253188,"Real Emission at 30m"
1730,0.999998651253188,"Real Emission at 30m"
1735,0.999998651253188,"Real Emission at 30m"
1740,0.999998651253188,"Real Emission at 30m"
1745,0.999998651253188,"Real Emission at 30m"
1750,0.999998651253188,"Real Emission at 30m"
1755,0.999998651253188,"Real Emission at 30m"
1760,0.999998651253188,"Real Emission at 30m"
1765,0.999998651253188,"Real Emission at 30m"
1770,0.999998651253188,"Real Emission at 30m"
1775,0.999998651253188,"Real Emission at 30m"
1780,0.999998651253188,"Real Emission at 30m"
1785,0.999998651253188,"Real Emission at 30m"
1790,0.999998651253188,"Real Emission at 30m"
1795,0.999998651253188,"Real Emission at 30m"
1800,0.999998651253188,"Real Emission at 30m"
1805,0.999998651253188,"Real Emission at 30m"
1810,0.999998651253188,"Real Emission at 30m"
1815,0.999998651253188,"Real Emission at 30m"
1820,0.999998651253188,"Real Emission at 30m"
1825,0.999998651253188,"Real Emission at 30m"
1830,0.999998651253188,"Real Emission at 30m"
1835,0.999998651253188,"Real Emission at 30m"
1840,0.999998651253188,"Real Emission at 30m"
1845,0.999998651253188,"Real Emission at 30m"
1850,0.999998651253188,"Real Emission at 30m"
1855,0.999998651253188,"Real Emission at 30m"
1860,0.999998651253188,"Real Emission at 30m"
1865,0.999998651253188,"Real Emission at 30m"
1870,0.999998651253188,"Real Emission at 30m"
1875,0.999998651253188,"Real Emission at 30m"
1880,0.999998651253188,"Real Emission at 30m"
1885,0.999998651253188,"Real Emission at 30m"
1890,0.999998651253188,"Real Emission at 30m"
1895,0.999998651253188,"Real Emission at 30m"
1900,0.999998651253188,"Real Emission at 30m"
1905,0.999998651253188,"Real Emission at 30m"
1910,0.999998651253188,"Real Emission at 30m"
1915,0.999998651253188,"Real Emission at 30m"
1920,0.999998651253188,"Real Emission at 30m"
1925,0.999998651253188,"Real Emission at 30m"
1930,0.999998651253188,"Real Emission at 30m"
1935,0.999998651253188,"Real Emission at 30m"
1940,0.999998651253188,"Real Emission at 30m"
1945,0.999998651253188,"Real Emission at 30m"
1950,0.999998651253188,"Real Emission at 30m"
1955,0.999998651253188,"Real Emission at 30m"
1960,0.999998651253188,"Real Emission at 30m"
1965,0.999998651253188,"Real Emission at 30m"
1970,0.999998651253188,"Real Emission at 30m"
1975,0.999998651253188,"Real Emission at 30m"
1980,0.999998651253188,"Real Emission at 30m"
1985,0.999998651253188,"Real Emission at 30m"
1990,0.999998651253188,"Real Emission at 30m"
1995,0.999998651253188,"Real Emission at 30m"
2000,0.999998651253188,"Real Emission at 30m"
2005,0.999998651253188,"Real Emission at 30m"
2010,0.999998651253188,"Real Emission at 30m"
2015,0.999998651253188,"Real Emission at 30m"
